wit	6025
janma	6022
banyu	6022
sumerep	5968
aglis	5960
samanten	5957
lanang	5920
griya	5918
mula	5911
ulun	5879
manjing	5851
pribadi	5825
antuk	5805
ii	5795
tengah	5779
sayekti	5775
paran	5773
salah	5764
ningali	5764
kurang	5761
wruh	5750
mungguh	5712
mulane	5712
tak	5695
bapa	5671
wani	5637
nedya	5635
angling	5633
nuwun	5628
maha	5604
mundur	5603
uninga	5599
yaiku	5563
sirna	5562
tegesipun	5550
pundi	5521
pandhita	5504
cilik	5460
kresna	5432
kajawen	5418
lara	5409
nuju	5404
umatur	5400
sangking	5396
amba	5390
oleh	5389
kidul	5378
nunten	5363
mantuk	5342
manira	5341
ngandhap	5311
bagus	5301
baya	5298
salebeting	5296
nguni	5291
layang	5282
tetep	5275
b	5275
prakawis	5268
prelu	5259
sawatawis	5253
mijil	5239
darbe	5212
sasampunipun	5200
senapati	5197
loro	5190
laku	5188
anom	5156
sowan	5148
lumampah	5120
sok	5107
nembah	5107
pura	5095
angger	5093
surya	5093
reh	5092
kene	5070
mugi	5070
pating	5061
kajawi	5048
ri	5046
metu	5043
lampahipun	5035
mesem	5035
mara	5017
bayi	5013
nyata	5012
perang	5009
kinarya	4995
meh	4995
warni	4982
wayah	4974
enjing	4956
wuri	4950
kiwa	4941
donya	4938
sandika	4927
rak	4912
cina	4911
jaka	4901
pukulun	4897
temen	4896
surabaya	4895
islam	4885
satriya	4880
swara	4871
tindak	4866
m	4865
tamtu	4864
kapal	4844
beda	4842
miyarsa	4838
panji	4836
puniki	4819
nyuwun	4813
sarwa	4785
wukir	4781
sru	4770
mulih	4757
kuda	4734
gendhing	4729
liya	4728
narpati	4726
sugih	4724
kirang	4724
katong	4703
samana	4697
tumut	4670
cara	4655
koran-majalah-dan-jurnal	4638
kondur	4636
sarehning	4634
mentas	4622
gareng	4619
ari	4614
pinanggih	4594
anggone	4575
sasi	4568
ring	4568
lurah	4558
benjing	4548
aywa	4546
tmr	4529
warna	4528
walandi	4527
pantes	4498
keh	4476
nek	4470
driya	4455
sewu	4451
budhal	4447
samangke	4445
kadang	4442
ywa	4438
jaler	4437
lami	4431
demang	4430
kagungan	4421
id	4417
cipta	4410
mangkya	4408
pajang	4406
wajib	4403
pak	4392
nyai	4392
putih	4380
ngong	4377
leres	4374
sedya	4367
kacariyos	4366
na	4345
menawi	4341
dahat	4338
mengkono	4331
ng	4330
de	4290
susah	4285
mangkat	4284
gangsal	4273
sakalangkung	4264
aprabu	4262
warga	4261
murih	4259
s	4255
payo	4250
dika	4236
e	4231
marma	4229
mrih	4202
sela	4200
tuhu	4199
alam	4199
dasa	4193
anulya	4188
karaton	4187
munggeng	4176
ditya	4152
sakawan	4135
mulat	4127
wekasan	4107
gupuh	4106
sinten	4105
wanita	4098
kali	4092
sinung	4092
duta	4089
wayang	4072
tembe	4071
wusana	4067
nedha	4059
miyos	4051
dhasar	4047
wisma	4043
besuk	4018
ajrih	4015
yuda	4013
mangkene	4013
dupi	4003
wastani	3985
tri	3981
liyane	3973
sapisan	3970
paring	3965
rara	3965
dhuwit	3959
sedaya	3950
nem	3948
salebetipun	3943
terus	3941
temah	3935
p	3935
omah	3933
ngajeng	3933
pitung	3926
angin	3925
adamel	3916
santana	3914
enggone	3911
rum	3903
putranipun	3903
isi	3892
mangsuli	3889
com	3885
rong	3876
mangan	3869
ngendi	3865
demak	3860
pandhawa	3860
aturipun	3856
lagya	3850
utusan	3834
panggenan	3830
wektu	3821
madura	3814
pasthi	3810
santri	3807
perlu	3795
wae	3794
minggah	3788
sawiji	3785
ngastina	3779
arjuna	3778
suksma	3776
aprang	3776
ngangge	3767
kalbu	3766
langit	3763
suci	3759
asih	3756
cariyos	3753
atus	3752
tumuli	3746
kawontenanipun	3742
kagyat	3739
k	3733
lair	3727
kw	3719
nate	3717
rame	3715
rembag	3713
susuhunan	3712
manut	3703
dhawah	3686
kadhaton	3685
tebih	3677
tekan	3671
lampahe	3664
meksa	3663
utama	3661
age	3656
nyang	3652
ngling	3641
sanes-sanesipun	3639
madeg	3638
mulya	3629
agama	3629
pc	3625
sembah	3622
php	3617
tengen	3615
wontenipun	3604
index	3604
amrih	3603
content	3603
view	3603
option	3601
article	3600
adhi	3599
petruk	3599
panembahan	3595
tumunten	3590
sabda	3588
gelem	3584
narapati	3584
dunya	3582
mawa	3567
manahipun	3565
ngelmu	3558
wujud	3556
tedhak	3549
panggih	3531
muni	3530
dumunung	3525
rampung	3524
rangga	3520
ulam	3515
atine	3510
agami	3494
kembang	3492
semu	3491
krama	3488
tunggal	3487
anama	3487
radyan	3480
ji	3476
jati	3474
pamit	3468
welas	3464
o	3463
r	3456
tapa	3454
mireng	3446
jalu	3446
kae	3445
telu	3441
muwus	3436
cahya	3425
puri	3408
sanalika	3401
pangkat	3390
golongan	3384
suku	3379
gambar	3375
saestu	3371
kaca	3368
adi	3362
kalampahan	3360
ning	3352
alus	3342
kawan	3339
rada	3339
kewan	3333
ature	3332
kayu	3322
kesah	3321
kajeng	3321
nomer	3319
manggih	3315
kalayan	3311
dhahar	3309
sanesipun	3308
pulisi	3305
geni	3303
tampi	3290
kadospundi	3288
satus	3287
asta	3284
karsaning	3282
manis	3279
priya	3277
winarna	3275
diarani	3274
ikang	3270
wengi	3264
awon	3264
wali	3262
kanan	3259
ris	3258
laju	3257
uwis	3248
geng	3247
awak	3245
warsa	3244
tangan	3238
seda	3236
kakung	3228
jendral	3226
dalah	3225
kerep	3220
rahaden	3218
pasisir	3216
aningali	3208
lali	3206
lumaris	3188
lampahira	3170
prayoga	3166
rata	3164
jeneng	3160
antara	3153
arum	3152
kartasura	3152
nandhang	3148
winuwus	3148
panggalih	3140
majeng	3140
matawis	3139
sarira	3136
linggih	3134
kutha	3134
kulup	3132
ilang	3130
aksara	3122
ajurit	3119
salajengipun	3113
arsip-dan-sejarah	3100
kuning	3097
bale	3097
brahmana	3097
wadana	3096
cetha	3095
kusuma	3089
manusa	3086
ringgit	3085
tumindak	3082
seneng	3076
karsane	3072
terang	3065
kapanggih	3058
kalangkung	3053
anyar	3051
kalamun	3050
ewadene	3050
sisih	3048
endi	3048
pada	3030
dalan	3030
pethak	3028
siyang	3026
asring	3022
wasana	3019
nitih	3016
mangsah	3012
an	3012
bubar	2993
anane	2992
dosa	2987
liyan	2983
gajah	2983
peksi	2979
negara	2978
sura	2966
pamulangan	2963
redi	2959
rumaos	2956
gedhong	2948
sangsaya	2942
pakempalan	2937
upami	2931
zie	2931
amarga	2928
kilen	2925
bang	2923
eyang	2922
busana	2916
uwong	2913
dhuwur	2913
kina	2908
telas	2901
punapadene	2896
gegaman	2888
wingking	2886
lunga	2878
sawise	2874
putrane	2867
baita	2864
yeku	2863
he	2858
dipatya	2854
